"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"spdx-correct","1.0.2","false","Previously pedigree reviewed","AGPL-3.0,Apache-2.0,Artistic-2.0,BSD-2-Clause,BSD-3-Clause,BSL-1.0,CC-BY-4.0,EPL-1.0,GPL-2.0,GPL-3.0,LGPL-3.0,MPL-2.0,UNKNOWN,WTFPL","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/spdx-correct"
"spdx-expression-parse","1.0.4","false","Exempt - Version closely related to 1.0.2","Apache-2.0,BSD-2-Clause,BSD-3-Clause,BSD-4-Clause,CC-BY-3.0,GPL-2.0,JSON,LGPL-2.1,MIT,MITNFA,MS-PL,WTFPL","CC-BY-3.0","Needs Review | Needs Legal Approval","node_modules/spdx-expression-parse"
"spdx-license-ids","1.2.2","false","Previously pedigree reviewed","Public Domain","","Approved","node_modules/spdx-license-ids"
"string-template","0.2.1","true","New package and not exempt","MIT","","Approved","node_modules/string-template"
"string-width","1.0.2","false","Exempt - Version closely related to 1.0.1","MIT","MIT","Approved","node_modules/string-width"
"string_decoder","1.0.3","false","Exempt - Version closely related to 1.0.0","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/string_decoder"
"strip-ansi","3.0.1","false","Exempt - Version closely related to 3.0.0","MIT","MIT","Approved","node_modules/strip-ansi"
"strip-bom","3.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/strip-bom"
"strip-bom-stream","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/strip-bom-stream"
"strip-bom","2.0.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/strip-bom-stream/node_modules/strip-bom"
"supports-color","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/supports-color"
"text-table","0.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/text-table"
"textextensions","2.1.0","true","New package and not exempt","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/textextensions"
